rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
301,Suraj Restaurant,https://www.zomato.com/jaipur/suraj-restaurant-brahmpuri?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Brahmpuri Police Station, Brahmpuri, Jaipur",Jaipur,26.9420250849,75.8378525823,8 AM to 5:30 PM (Mon-Sun),2.6,"North Indian, South Indian","['Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Indoor Seating', 'Air Conditioned', 'Pure Veg']"
302,Jain Roti Sabziwala,https://www.zomato.com/jaipur/jain-roti-sabziwala-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Varun Path Crossing, Madhyam Marg, Mansarovar, Jaipur",Jaipur,26.8691541132,75.7560851052,7 AM to 10 PM (Mon-Sun),2.6,North Indian,"['Dinner', 'Cash', 'Breakfast', 'Lunch', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Table booking not available']"
303,New Jaipuri Punjabi Tadka Veg Restaurant,https://www.zomato.com/jaipur/new-jaipuri-punjabi-tadka-veg-restaurant-2-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 123, Sector 2, Indira Nagar, Jagatpura, Malviya Nagar, Jaipur",Jaipur,26.838078,75.868551,7 AM to 3 AM,2.6,"North Indian, Chinese","['Lunch', 'Cash', 'Breakfast', 'Dinner', 'Takeaway Available', 'Free Parking', 'Indoor Seating', 'Digital Payments Accepted']"
304,Meri Pasand,https://www.zomato.com/jaipur/meri-pasand-agra-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7 Km. Milestone Balti Factory, NH-11, Jamdoli, Agra Road, Jaipur",Jaipur,26.887359743,75.8880410716,10 AM to 11 PM,2.6,"Street Food, North Indian, Fast Food","['Breakfast', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Dinner', 'Delivery', 'Cash', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating', 'Pure Veg']"
305,Virasat Heritage Restaurant,https://www.zomato.com/jaipur/virasat-heritage-restaurant-lal-kothi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot B, 22 Godam Cir, Jyothi Nagar, Lal Kothi, Jaipur",Jaipur,26.899513,75.792929,"11 AM to 4:30 PM, 6:30 PM to 11 PM",2.6,"North Indian, Rajasthani","['Dinner', 'Takeaway Available', 'Lunch', 'Indoor Seating', 'Digital Payments Accepted', 'Table booking recommended', 'Air Conditioned']"
306,Ice Spice,https://www.zomato.com/jaipur/ice-spice-c-scheme?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Near Ahinsa Circle, Ashok Marg, C Scheme, Jaipur",Jaipur,26.9140550515,75.80661054699999,9 AM to 11 PM (Mon-Sun),2.7,"North Indian, Chinese, South Indian","['Delivery', 'Lunch', 'Debit Card', 'Breakfast', 'Credit Card', 'No Alcohol Available', 'Cash', 'Takeaway Available', 'Dinner', 'Pure Veg', 'Air Conditioned', 'Digital Payments Accepted', 'Indoor Seating', 'Table Reservation Not Required']"
307,Talk of The town,https://www.zomato.com/jaipur/talk-of-the-town-shyam-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"144, Ajmera Garden Kings Road, Nirman Nagar, Near DCM, Shyam Nagar, Jaipur",Jaipur,26.894283315,75.7510643452,"6 P.M. to 10:30 P.M. (Mon, Wed-Sun), Tue Closed",2.7,"North Indian, Rolls, Kebab","['Cash', 'Takeaway Available', 'No Seating Available', 'Credit Card', 'Delivery', 'No Alcohol Available', 'Dinner', 'Debit Card', 'Digital Payments Accepted']"
308,Sam's Pizza,https://www.zomato.com/jaipur/sams-pizza-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 32-33, Near Shubh Hospital, Prince Road, Vaishali Nagar, Jaipur",Jaipur,26.8968290877,75.7520969957,11 AM to 11 PM,2.7,Pizza,"['Debit Card', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Digital Payments Accepted', 'Air Conditioned', 'Table Reservation Not Required', 'Indoor Seating', 'Pure Veg']"
309,Kanchan Kesari Vaishali,https://www.zomato.com/jaipur/kanchan-kesari-vaishali-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2nd Floor, Opposite Gupta Store, Amrapali Circle, Vaishali Nagar, Jaipur",Jaipur,26.910529646,75.7434029505,11 AM to 11 PM,2.7,"North Indian, Rajasthani","['No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Air Conditioned', 'Pure Veg', 'Indoor Seating', 'Table booking recommended', 'Rooftop']"
310,Chicken Chaska,https://www.zomato.com/jaipur/chicken-chaska-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"54, Gopal Nagar A, Gopal Pura By Pass, Near Arjun Nagar Underpass, Mansarovar, Jaipur",Jaipur,26.8675268069,75.78725337979999,3PM to 11PM (Mon-Sun),2.7,North Indian,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted', 'Table booking recommended']"
311,Jaipur Heritage Food Court,https://www.zomato.com/jaipur/jaipur-heritage-food-court-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"HL 14-17, SL Marg, Off JLN Marg, Near Malviya Nagar, Jaipur",Jaipur,26.8496883092,75.80221943560001,11 AM to 11 PM,2.7,"Chinese, North Indian, South Indian","['Lunch', 'Cash', 'Debit Card', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Credit Card', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating', 'Pure Veg']"
312,Annpurna Bhog Thali & Tiffin House,https://www.zomato.com/jaipur/annpurna-bhog-thali-tiffin-house-vidhyadhar-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"F 204, Shivam Apartment Central Spaine, Vidhyadhar Nagar, Jaipur",Jaipur,26.9585965573,75.7785211131,11 AM to 10 PM,2.7,North Indian,"['No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available']"
313,The Chef Inn,https://www.zomato.com/jaipur/the-chef-inn-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"90/12, Madhyam Marg, Near Patel Marg Crossing, Mansarovar, Jaipur",Jaipur,26.8518614787,75.76769705859999,11 AM to 12 Midnight,2.7,"Italian, Mexican, Thai, Continental, North Indian","['Cash', 'Dinner', 'Lunch', 'Outdoor Seating', 'Indoor Seating', 'Buffet', 'Table Reservation Not Required', 'Digital Payments Accepted', 'Live Music', 'Air Conditioned', 'Smoking Area', 'Rooftop', 'Pure Veg']"
314,Al Saifi Hotel,https://www.zomato.com/jaipur/al-saifi-hotel-pink-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"329-330, Luharo Ka Khurra, Ghat Gate Bazaar, Pink City, Jaipur",Jaipur,26.9179982809,75.8340354636,9 AM to 11 PM,2.7,North Indian,"['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Halal']"
315,Chik-Inn,https://www.zomato.com/jaipur/chik-inn-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 4, Kidwai Nagar, Imli Phatak, Tonk Road, Jaipur",Jaipur,26.886213249,75.7934040204,11 AM to 11 PM,2.7,"Mughlai, North Indian","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Halal']"
