,rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
3749,3750,The Abhiras- Radisson Jodhpur,https://www.zomato.com/jodhpur/the-abhiras-radisson-jodhpur-air-force-area?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Radisson Jodhpur, 8, Residency Road, Gaurav Path, Air Force Area, Jodhpur",Jodhpur,26.2643824279,73.03103853020001,7 PM to 11 PM,0.0,North Indian,"['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Smoking Area', '4/5 Star', 'Rooftop', 'Table booking recommended', 'Air Conditioned', 'Pure Veg', 'Outdoor Seating']"
3751,3752,Garib Nawaz Dhaba,https://www.zomato.com/jodhpur/garib-nawaz-dhaba-shastri-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shastri Circle Shastri Nagar, Jodhpur",Jodhpur,26.261853,73.003984,6 PM to 11 PM,3.2,"North Indian, Mughlai","['Dinner', 'Takeaway Available', 'Cash', 'Outdoor Seating', 'Live Music']"
3927,3928,A Solomon Lok,https://www.zomato.com/jodhpur/a-solomon-lok-air-force-area?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"6, Opposite Sardar Club, Air Force Area, Jodhpur",Jodhpur,26.2647311962,73.0352445692,12 Noon to 11 PM,3.4,"North Indian, Chinese","['Dinner', 'Takeaway Available', 'Lunch', 'Serves Alcohol', 'Cash', 'Delivery', 'Nightlife', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Sports TV']"
4023,4024,Where Is The Food?,https://www.zomato.com/jodhpur/where-is-the-food-sardarpura?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"32, Shanti Tower, Jalori Gate, Near Sardarpura, Jodhpur",Jodhpur,26.2845313996,73.01733110100001,6 PM to 6 AM,3.5,"Cafe, North Indian, Fast Food, Chinese, Beverages","['Lunch', 'Cash', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Delivery', 'Indoor Seating']"
4031,4032,Step Up Cafe & Bistro,https://www.zomato.com/jodhpur/step-up-cafe-bistro-basni?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"L M Tower, Opposite Old Bhaskar Office, Iti Circle, Shastri Nagar, Basni, Jodhpur",Jodhpur,26.259947,73.003814,11 AM to 11 PM,3.6,"Desserts, Italian, Cafe","['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Air Conditioned']"
4035,4036,Shri Mangalam Restaurant,https://www.zomato.com/jodhpur/shri-mangalam-restaurant-basni?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Pal Link, AIIMS Road, Jodhpur, Basni, Jodhpur",Jodhpur,26.243794,72.993656,10 AM to 11 PM,3.5,"Cafe, Italian, North Indian, Chinese, South Indian, Fast Food","['Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Indoor Seating']"
4062,4063,Mehfeel,https://www.zomato.com/jodhpur/mehfeel-air-force-area?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Loco Road, Near Bhaskar Circle, Shakti Colony, Ratanada, Air Force Area, Jodhpur",Jodhpur,26.274825,73.028294,9 AM to 11:30 PM,3.1,"Cafe, Beverages","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating']"
4064,4065,Maharaja Bhog Kitchen,https://www.zomato.com/jodhpur/maharaja-bhog-kitchen-paota?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"JW Rajwada House, Fort Road, Bagar Beri Jodhpuur, Paota, Jodhpur",Jodhpur,26.3030319047,73.0263205245,11 AM to 11 PM,0.0,"Beverages, Cafe, Coffee, Desserts","['Takeaway Available', 'Cash', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Outdoor Seating', 'Rooftop', 'Air Conditioned', 'Wheelchair Accessible']"
4066,4067,Borana  Restaurant,https://www.zomato.com/jodhpur/borana-restaurant-basni?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,Basni Krisni Upag Mandi,Jodhpur,26.232056,73.014795,11 AM to 9 PM,0.0,"Beverages, Cafe, Coffee","['Takeaway Available', 'Cash', 'Outdoor Seating', 'All Day Breakfast', 'Indoor Seating']"
4068,4069,The Olive Court,https://www.zomato.com/jodhpur/the-olive-court-cantt-area?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ashok Vihar, Before Mini Market, Opp. Bodhi International School, Shikargarh, Jodhpur, Cantt Area, Jodhpur",Jodhpur,26.273873362800003,73.07548072189999,,0.0,"Cafe, Chinese, Continental, Fast Food, North Indian","['Takeaway Available', 'Cash', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted']"
