rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
5064,Oladar Village Restaurant and Cafe,https://www.zomato.com/udaipur/oladar-village-restaurant-and-cafe-pichola?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"14/21, Lake Palace Road, Pichola, Udaipur",Udaipur,24.5741446097,73.6885287613,10 AM to 10 PM,4.5,"Cafe, Italian","['No Alcohol Available', 'Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned']"
5065,Khamma Ghani Restaurant,https://www.zomato.com/udaipur/khamma-ghani-restaurant-fateh-sagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"63, Near Hotel Natural View, Yadav Colony, Rang Sagar",Udaipur,24.5859476565,73.680729568,11 AM to 11 PM,4.5,"Chinese, Continental, Rajasthani","['Cash', 'Lunch', 'Breakfast', 'Debit Card', 'Takeaway Available', 'Credit Card', 'Dinner', 'Serves Alcohol', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Fullbar', 'Wifi', 'Rooftop', 'Digital Payments Accepted', 'Indoor Seating']"
5066,Barbeque Nation,https://www.zomato.com/udaipur/barbeque-nation-bhuwana?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Celebration Mall, Bhuwana, Udaipur",Udaipur,24.6125635406,73.70238907640001,"12 Noon to 3:30 PM, 6:30 PM to 11:30 PM",4.5,"North Indian, Mughlai, Chinese","['Serves Alcohol', 'Dinner', 'Credit Card', 'Mall Parking', 'Lunch', 'Debit Card', 'Cash', 'Outdoor Seating', 'Wine', 'Buffet', 'Air Conditioned', 'Table booking recommended', 'Beer']"
5067,Krishna Dal Bati Restro,https://www.zomato.com/udaipur/krishna-dal-bati-restro-city-centre?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"17, First Floor, Jal Darshan Market, Gulab Bagh Road, City Centre, Udaipur",Udaipur,24.5761454008,73.6937302351,"11 AM to 4:30 PM, 7 PM to 9:30 PM",4.5,Rajasthani,"['Cash', 'Lunch', 'Dinner', 'Credit Card', 'Takeaway Available', 'No Alcohol Available', 'Indoor Seating', 'Pure Veg', 'Air Conditioned']"
5068,Hari Vedas,https://www.zomato.com/udaipur/hari-vedas-bhuwana?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Fourth Floor, The Celebration Mall, NH 8, Bhuwana, Udaipur",Udaipur,24.6657134183,73.7022968754,11 AM to 10 PM,4.4,"North Indian, Mexican, Chinese, Italian","['Credit Card', 'Cash', 'Delivery', 'Dinner', 'Lunch', 'No Alcohol Available', 'Takeaway Available', 'Debit Card', 'Mall Parking', 'Pure Veg', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating']"
5069,Sun & Moon Restaurant,https://www.zomato.com/udaipur/sun-moon-restaurant-chandpole?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"83,84 Gangaur Ghat Near Jagdish Temple, Level - 5 of Hotel Udainiwas, Chandpole, Udaipur",Udaipur,24.5801874379,73.6831210926,8am – 10:30pm (Mon-Sun),4.4,"North Indian, Fast Food","['Lunch', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Rooftop', 'Table booking recommended', 'Wifi', 'Seaview', 'Smoking Area']"
5070,Kitchen Age,https://www.zomato.com/udaipur/kitchen-age-subhash-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Center Point, Ground Floor, Opposite BN College, Udaipur, Rajasthan",Udaipur,24.5807737465,73.7173480913,10 AM to 11 PM (Mon-Sun),4.4,"Chinese, Italian, South Indian, Fast Food, North Indian, Mexican","['Delivery', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Debit Card', 'Lunch', 'Indoor Seating', 'Pure Veg', 'Digital Payments Accepted', 'Valet Parking Available']"
5071,Tribute,https://www.zomato.com/udaipur/tribute-fateh-sagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"89-B, Monica Complex, Ambamata Temple Road, Fateh Sagar, Udaipur",Udaipur,24.584611363,73.6805294082,11 AM to 11 PM,4.4,"North Indian, Rajasthani, Continental","['Cash', 'Takeaway Available', 'Serves Alcohol', 'Credit Card', 'Debit Card', 'Lunch', 'Dinner', 'Outdoor Seating', 'Luxury Dining', 'Table booking recommended', 'Smoking Area', 'Fullbar', 'Indoor Seating']"
5072,Raas Leela,https://www.zomato.com/udaipur/raas-leela-pichola?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Soni Ji Ki Bari, Adjoining The Leela Kempinsky, Pichola, Udaipur",Udaipur,24.578999262600004,73.67840074,7:30 AM to 10:30 PM,4.4,"North Indian, Chinese, Continental, Rajasthani","['Breakfast', 'No Alcohol Available', 'Debit Card', 'Credit Card', 'Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Smoking Area', 'Wifi', 'Table booking recommended', 'Outdoor Seating', 'Indoor Seating']"
5073,Shamiana Roof Top Restaurant And Coffee Shop,https://www.zomato.com/udaipur/shamiana-roof-top-restaurant-and-coffee-shop-pichola?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Sarovar, Outside Chandpole, Near Hanuman Ghat, Pichola, Udaipur",Udaipur,24.5801734128,73.68016261609999,11am – 12midnight (Mon-Sun),4.4,"Chinese, Rajasthani, Continental","['Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Breakfast', 'Lunch', 'Serves Alcohol', 'Takeaway Available', 'City View', 'Outdoor Seating', 'Rooftop', 'Table booking recommended', 'Gluten Free Options', 'Serves Jain Food', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Wifi']"
