hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
25,Rohet Garh,4.5,Wonderful,"['Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included', 'Pool']","Village Rohet, Pali, Rajasthan, 306401",Jaisalmer,India,"25.955266, 73.13221",154
26,The Prem Beacon Jodhpur,4.1,Very Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Room service']","71 B/1, Bhagat Ki Kothi Scheme, New Pali Road, Jodhpur, Rajasthan, 342005",Jaisalmer,India,"26.242962, 73.014183",30
27,Juna Mahal,3.9,Good,"['Free WiFi', 'Air conditioning', 'Laundry', 'Restaurant', 'Business services', 'Bar']","Ada Bazaar, Daga Street, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.291866, 73.014185",34
28,Pukhraj Garh Jodhpur,,,"['Free airport shuttle', 'Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included']","Village Nandwan, Goshala Road, Salawas, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.11101, 72.985161",54
29,Mandore Guest House,4.1,Very Good,"['Air conditioning', 'Laundry', 'Parking included', 'Pool', 'Restaurant', 'Room service']","Dadawari Lane, Near Mandore Garden, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.350952, 73.037763",38
30,OYO 46815 Banaji Home Stay,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Restaurant', 'Housekeeping']","1, Opp. Keshriya Nath Jain Temple, Daftariyo Ka Mohalla, Moti Chowk, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.292984, 73.018957",58
31,Hotel The Balam,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pet friendly', 'Restaurant']","A-16, Vaibhav Vihar, Shikargarh Road, Jodhpur, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.2332, 72.95609",27
32,Jog Niwas,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Room service', 'Housekeeping']","Jog Niwas No. 16 Maharshi, Goutam Nagar, Village Bhakrasani, Jodhpur, RJ, 342005",Jaisalmer,India,"26.17389, 73.04595",40
34,Govind Hotel,3.7,Good,"['Free WiFi', 'Laundry', 'Pool', 'Restaurant', 'Business services', 'Parking available']","Opposite the main GPO/Railway, Station Road, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.284846, 73.022259",7
35,"Bijolai Palace, Jodhpur",,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant', 'Breakfast available']","Bijolai Palace, Near Kaylana Lake, Radar Road, Jodhpur, Rajasthan, 342003",Jaisalmer,India,"26.298547, 72.963845",54
36,Nature Trail Camps & Homestay,,,"['Free WiFi', 'Parking included', 'Outdoor Space', 'Fireplace', 'Housekeeping']","Sohara House, Shakti Nagar 1st Street, Paota, Jodhpur, Jodhpur, Rajasthan, 342006",Jaisalmer,India,"26.30437, 73.04805",12
37,Treebo Trend The Marwar Hotel and Garden Jodhpur,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Pool']","1, High Court Colony, Jodhpur, Rajasthan, 342011",Jaisalmer,India,"26.271302, 73.02828",27
38,Rawat Resorts,,,"['Air conditioning', 'Parking included', 'Restaurant', 'Breakfast available', '24/7 front desk']","Rampura Bhatiyan, Jodhpur-Jaisalmer Highway, Jodhpur, Osian, Rajasthan, 342305",Jaisalmer,India,"26.490748, 72.995583",40
40,Raj Mandir Boutique Home Stay,,,"['Free WiFi', 'Air conditioning', 'Laundry', 'Restaurant', 'Gym', 'Breakfast available']","Blue Street, Old Fort Road, Navchowkiya, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.295935, 73.01421",30
42,Shyam Palace Guest House,,,"['Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Room service', '24/7 front desk']","Mehron Ka Chowk, Jaswant Thade, Ki Ghati, Near Umaid Chowk, Jodhpur, Rajasthan, 342001",Jaisalmer,India,"26.301449, 73.023829",12
43,Marugarh Resort and Spa,,,"['Hot Tub', 'Free WiFi', 'Air conditioning', 'Spa', 'Laundry', 'Parking included']","Chopasni, Jaisalmer By Pass, Jodhpur, Rajasthan, 342010",Jaisalmer,India,"26.25692, 72.942279",155
45,I followed my heart and made this cosy Guest House,,,"['Free WiFi', 'Air conditioning', 'Pet friendly', 'Kitchen', 'Outdoor Space']","Jodhpur, Rajasthan",Jaisalmer,India,"26.232661, 73.030533",56
47,Treebo Trend City Center,,,"['Breakfast included', 'Free WiFi', 'Air conditioning', 'Laundry', 'Parking included', 'Restaurant']","City Center, Near Sanghi Petrol Pump Old, Olympic Cinema, Station Road, Ratanada, Jodhpur, 342001",Jaisalmer,India,"26.28049, 73.018948",30
