rest_id,rest_name,rest_url,rest_address,city,latitude,longitude,rest_timing,rest_rating,cuisines,features
586,Nibs Cafe and Chocolataria,https://www.zomato.com/jaipur/nibs-cafe-and-chocolataria-gopalbari?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Ratan Niwas, 36 Sanjay Marg, Hathroi Fort, Gopalbari, Jaipur",Jaipur,26.915657173200003,75.7949818298,11 AM to 11 PM,4.1,"Cafe, Italian, Desserts","['No Alcohol Available', 'Dinner', 'Cash', 'Takeaway Available', 'Breakfast', 'Lunch', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Desserts and Bakes', 'Indoor Seating', 'Free Wifi', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Smoking Area']"
587,Cafe A2G & Flavours 24,https://www.zomato.com/jaipur/cafe-a2g-flavours-24-lal-kothi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 10/2, Jyoti Nagar, Sahkar Marg, Lal Kothi, Jaipur",Jaipur,26.8924072884,75.7938861474,7am – 11:30pm (Mon-Sun),4.1,"Cafe, Desserts, North Indian, Chinese, Frozen Yogurt","['Dinner', 'Cash', 'Delivery', 'Breakfast', 'Lunch', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes', 'Table booking recommended', 'Air Conditioned', 'Wifi']"
588,Foobae & Waff Up!,https://www.zomato.com/jaipur/foobae-waff-up-c-scheme?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"F-69, Subhash Marg, Bagaria Bhawan Road, C Scheme, Jaipur",Jaipur,26.9069153333,75.796893239,"11:30 AM to 11:30 PM, 12 Midnight to 12:30 AM",3.9,"Belgian, Burger, Desserts","['Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Air Conditioned', 'Table booking recommended', 'Indoor Seating', 'Digital Payments Accepted', 'Outdoor Seating', 'Desserts and Bakes', 'Pure Veg']"
589,WAFL Café,https://www.zomato.com/jaipur/wafl-café-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"C-67, Gandhi Path, Pawan Vihar Colony, Nityanand Nagar, Vaishali Nagar, Jaipur",Jaipur,26.9054497232,75.74963741,11 AM to 12:30 AM,4.1,"Cafe, Desserts","['Cash', 'Credit Card', 'Debit Card', 'Takeaway Available', 'Breakfast', 'All Day Breakfast', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes']"
590,Keventers,https://www.zomato.com/jaipur/keventers-1-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Ground Floor, Gaurav Tower, Malviya Nagar, Jaipur",Jaipur,26.8553845271,75.8067272231,11 AM to 11 PM,4.0,"Beverages, Desserts, Ice Cream","['Credit Card', 'No Seating Available', 'Mall Parking', 'Takeaway Available', 'Debit Card', 'Cash', 'Desserts and Bakes', 'Digital Payments Accepted', 'Pure Veg']"
591,NR Ice Cream Parlour & Restaurant,https://www.zomato.com/jaipur/nr-ice-cream-parlour-restaurant-bapu-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Janta Store, Bapu Nagar, Jaipur",Jaipur,26.8898028071,75.810142681,9 AM to 10 PM (Mon-Sun),3.6,"Fast Food, Chinese, Ice Cream","['Dinner', 'Takeaway Available', 'Lunch', 'Cash', 'Indoor Seating', 'Digital Payments Accepted', 'Desserts and Bakes', 'Table booking not available', 'Pure Veg']"
592,Havmor Hotch Potch,https://www.zomato.com/jaipur/havmor-hotch-potch-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"2, Food Court, South Block, World Trade Park, Malviya Nagar, Jaipur",Jaipur,26.8530053299,75.8050642535,11 AM to 11 PM,3.7,"Ice Cream, Desserts","['Mall Parking', 'Takeaway Available', 'Cash', 'Delivery', 'Digital Payments Accepted', 'Wheelchair Accessible', 'Desserts and Bakes', 'Air Conditioned', 'Pure Veg']"
636,Beerlicious,https://www.zomato.com/jaipur/beerlicious-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Plot 34/35, Mahalaxmi Tower, Moji Colony, Calgary Road, Malviya Nagar, Jaipur",Jaipur,26.8594189379,75.80813638869999,12 Noon to 12 Midnight,4.1,"Finger Food, European, Mexican, Chinese","['Takeaway Available', 'Lunch', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Brunch', 'Live Sports Screening', 'Outdoor Seating', 'Beer', 'Rooftop', 'Table booking recommended', 'Air Conditioned', 'Smoking Area', 'Nightlife', 'Wine', 'Indoor Seating', 'Entry Fee']"
637,OTB - On The Bar B-Q,https://www.zomato.com/jaipur/otb-on-the-bar-b-q-malviya-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"6th Floor, Crystal Court Mall, Malviya Nagar, Jaipur",Jaipur,26.8561858573,75.8068385348,11am – 11pm (Mon-Sun),4.2,"Italian, Chinese, North Indian","['Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Lunch', 'Mall Parking', 'Takeaway Available', 'Free Parking', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted', 'Axis Bank - Dining Delights', 'Live Sports Screening', 'Live Music', 'Table booking recommended', 'Air Conditioned', 'Buffet', 'Desserts and Bakes']"
638,Tikkad,https://www.zomato.com/jaipur/tikkad-sikar-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"67, Saket Colony, Path 7, Sikar Road, Jaipur",Jaipur,26.9599730204,75.7656022534,11am – 11pm (Mon-Sun),3.8,"North Indian, Chinese","['No Alcohol Available', 'Cash', 'Lunch', 'Dinner', 'Takeaway Available', 'Delivery', 'Indoor Seating', 'Rooftop', 'Pure Veg', 'Outdoor Seating', 'Live Music', 'Digital Payments Accepted']"
640,Restro RJ 23,https://www.zomato.com/jaipur/restro-rj-23-2-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"130-A, Ashok Vihar Vistar, Gopalpura By Pass, Near Trivini Choraha, Mansarovar, Jaipur",Jaipur,26.8688236,75.7863516,9am – 11pm (Mon-Sun),3.6,North Indian,"['Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Breakfast', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted', 'Pure Veg']"
643,Sky Beach,https://www.zomato.com/jaipur/sky-beach-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"328-329, Above Watch Factory, Queens Road, Vaishali Nagar, Jaipur",Jaipur,26.9124729378,75.7527625188,12 Noon to 11 PM,3.9,"North Indian, Continental, Chinese, Italian","['Cash', 'Debit Card', 'Dinner', 'No Alcohol Available', 'Credit Card', 'Takeaway Available', 'Lunch', 'Indoor Seating', 'Rooftop', 'Pure Veg', 'Outdoor Seating', 'Table Reservation Not Required', 'Air Conditioned']"
645,Vitthal's Kitchen,https://www.zomato.com/jaipur/vitthals-kitchen-tonk-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"29-A, Opposite Laxmi Mandir Cinema, Tonk Road, Jaipur",Jaipur,26.8810990382,75.7980620116,11 AM to 11 PM,3.9,"North Indian, Chinese, South Indian","['Cash', 'Debit Card', 'Dinner', 'Takeaway Available', 'Credit Card', 'Lunch', 'Table booking recommended', 'Air Conditioned', 'Pure Veg', 'Indoor Seating', 'Free Wifi', 'Digital Payments Accepted', 'Kid Friendly']"
646,Tea Connect,https://www.zomato.com/jaipur/tea-connect-lal-kothi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Awadhpuri, Near Kailash Mall, Lal Kothi, Jaipur",Jaipur,26.8884216002,75.8006634191,12 Noon to 2 AM,3.9,"Chinese, North Indian, Fast Food","['No Alcohol Available', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Takeaway Available', 'Credit Card', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted', 'Wifi', 'Pure Veg', 'Live Music', 'Rooftop', 'Table reservation required', 'Air Conditioned', 'Smoking Area']"
649,Masala Trails,https://www.zomato.com/jaipur/masala-trails-mansarovar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3rd Floor, Harsh Macro Tower, #8, Triveni Nagar Mod, Gopalpura Bypass, Mansarovar, Jaipur",Jaipur,26.868668107,75.78347012399999,12noon – 10:30pm (Mon-Sun),4.0,"North Indian, Italian","['Debit Card', 'No Alcohol Available', 'Credit Card', 'Cash', 'Takeaway Available', 'Dinner', 'Lunch', 'Valet Parking Available', 'Indoor Seating', 'Table booking recommended', 'Rooftop', 'Pure Veg', 'Air Conditioned', 'City View', 'Smoking Area', 'Free Parking', 'Wheelchair Accessible', 'Outdoor Seating', 'Live Sports Screening']"
651,Chawla's Restaurant,https://www.zomato.com/jaipur/chawlas-restaurant-sodala?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Hotel Shri Laxmi Palace, New Sanganer Road, Sodala, Jaipur",Jaipur,26.8942880992,75.77040810140001,8 AM to 11 PM,3.7,"North Indian, Chinese","['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Credit Card', 'Debit Card', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned', 'Wifi']"
652,Idiot Box,https://www.zomato.com/jaipur/idiot-box-vaishali-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1, Girnar Colony, Gandhi Path, Vaishali Nagar, Jaipur",Jaipur,26.9057493048,75.7430649921,12Noon to 12Midnight (Mon-Sun),4.2,"North Indian, Chinese","['Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Wifi', 'DJ', 'Live Sports Screening', 'City View', 'Outdoor Seating', 'Rooftop', 'Air Conditioned', 'Smoking Area', 'Dance Floor', 'Nightlife', 'Fullbar', 'Indoor Seating', 'Table booking recommended', 'Axis Bank - Dining Delights']"
657,Handi Restaurant,https://www.zomato.com/jaipur/handi-restaurant-mi-road?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Maya Mansion, Opposite GPO, MI Road, Jaipur",Jaipur,26.9168861786,75.8040611073,"12 Noon to 3:30 PM, 6 PM to 11 PM",3.7,"North Indian, Mughlai, Kebab","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Wine', 'Serves Cocktails', 'Air Conditioned', 'Wheelchair Accessible', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'Wifi']"
