hotel_id,hotel_name,hotel_rating,hotel_experience,amenities,address,city,country,location,hotel_price
24,Bujera Fort,4.6,Exceptional,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","Village Bujera, Via Nai, Tehsil Girwa, Udaipur, Rajasthan, 313031",Udaipur,India,"24.560632, 73.632323",268.0
25,Udaigarh,3.8,Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Laundry', 'Pool', 'Restaurant']","21, Lal ghat, Behind Jagdish Temple, Udaipur, Rajasthan, 313001",Udaipur,India,"24.578941, 73.682867",40.0
26,Hotel Boheda Palace,4.5,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Room service']","Kalaji Goraji, Near lake palace road, Udaipur, Rajasthan, 313001",Udaipur,India,"24.575367, 73.68922",32.0
27,Gorbandh Hotel,5.0,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant temporarily unavailableRestaurant', 'Breakfast available']","138-138A Inside, Udaipole, Udaipur, Udaipur, 313001",Udaipur,India,"24.57603, 73.69892",15.0
28,Devra Udaipur,4.2,Excellent,"['Air conditioning', 'Free WiFi', 'Breakfast included', 'Parking included', 'Laundry', 'Pet friendly']","Sisarma-Bujra Road, Kalarohi, Udaipur, Rajasthan, 313001",Udaipur,India,"24.571782, 73.648195",80.0
29,Tatsaraasa Resort and Spa Udaipur,4.1,Very Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pet friendly']","Village Bhilwara, Gram Panchayat Lakhawali, Udaipur, Rajasthan, 313011",Udaipur,India,"24.679514, 73.690908",84.0
30,Inder Residency Udaipur,3.6,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","Goverdhan Vilas, Shikarbadi Road, Ekling Nagar, Udaipur, Rajasthan, 313001",Udaipur,India,"24.547384, 73.687601",87.0
31,Swaroop Vilas - Lake Facing Boutique Hotel,3.8,Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","6, Ambavgarh, Opp. Lake Swaroop Sagar, Udaipur, Rajasthan, 313001",Udaipur,India,"24.58917, 73.682804",80.0
32,Keshav Spa And Resort,3.7,Very Good,"['Spa', 'Free WiFi', 'Parking included', 'Laundry', 'Kitchen', 'Pool']","Seesrama, Girwa, Udaipur, Rajasthan, 313001",Udaipur,India,"24.556288, 73.649146",134.0
33,Hotel Raj Kuber,4.1,Wonderful,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool', 'Restaurant']","B1-Ambavgarh, Kurabad House Road, Ayurved College circle, Udaipur, Rajasthan, 313001",Udaipur,India,"24.58864, 73.68111",72.0
34,Bamboo Saa Resort & Spa,3.5,Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Pool']","1499/1500, Near Sajjangarh Bio Park, Sisarma, Udaipur, Rajasthan, 313001",Udaipur,India,"24.590993, 73.651745",87.0
35,Hotel Aashiya Haveli,4.2,Very Good,"['Air conditioning', 'Free WiFi', 'Laundry', 'Restaurant', 'Breakfast available', 'Business services']","17 Lal Ghat, Udaipur, Rajasthan, 313001",Udaipur,India,"24.5793, 73.682521",31.0
36,Ram Pratap Palace By Fateh Collection ,3.7,Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant']","5-B Alakpuri, Fateh Sagar Lake, Udaipur, Rajasthan, 313001",Udaipur,India,"24.591039, 73.67647",61.0
37,Hotel Udai Median,3.5,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant temporarily unavailableRestaurant', 'Breakfast available']","3-A Madhuban, Near Lok Kala Mandal, Udaipur, Rajasthan, 313001",Udaipur,India,"24.593395, 73.692944",38.0
38,Bloom Boutique - Lake Pichola Heritage Hotel,4.1,Very Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Breakfast available']","Dr.Chhagan Nath Ji Ki Bari, Outside Bhrampole, Udaipur, Rajasthan, 313001",Udaipur,India,"24.582812, 73.675807",78.0
40,Hotel Shree Narayana,3.6,Good,"['Air conditioning', 'Free WiFi', 'Parking included', 'Laundry', 'Restaurant', 'Business services']","2b, Hotel Street, Udaipur, Rajasthan, 313001",Udaipur,India,"24.577329, 73.700537",39.0
41,Howard Johnson by Wyndham Udaipur Roop Nagar,4.9,Exceptional,"['Air conditioning', 'Free WiFi', 'Breakfast included', 'Parking included', 'Laundry', 'Pool']","100 Feet Road Near Mahila Police Thana, Roop Sagar, Udaipur, RJ, 313001",Udaipur,India,"24.61356, 73.72009",168.0
42,Amantra Comfort Hotel,3.9,Good,"['Spa', 'Air conditioning', 'Free WiFi', 'Breakfast included', 'Parking included', 'Laundry']","5-B New Fatehpura, Opp.Sahelion Ki Bari, Udaipur, Rajasthan, 313001",Udaipur,India,"24.60295, 73.68912",66.0
43,Pride Hotel Udaipur,5.0,Exceptional,"['Air conditioning', 'Free WiFi', 'Parking included', 'Business services', 'Bar', 'Room service']","32/1 & 32-A, Hiran Magri, Road, Sector 3, Main Road, Udaipur, 313002",Udaipur,India,"24.54409, 73.71027",43.0
