hotel_id,hotel_name,hotel_price
177,Hotel Rockland,33
178,Wood Garden Hide,60
179,Hotel The Queens,17
180,OYO 1199 Hotel Maharaja Residency,63
181,Jaipur Residences 1,30
182,V One pride,55
183,Hotel Sajjan Niwas,34
184,OYO 3311 Hotel Apple 9,14
185,OYO 7152 Gumaan Heritage,17
186,Hotel VB Heritage Heights,35
187,Rawla Mrignayani Palace,13
188,Skyzone Greens Resort,34
189,Hotel Royal Amer City,16
190,Hotel Gitanjali,14
191,Kalyan Heritage,18
192,Chitrakatha,13
193,OYO 22544 Hotel Vijeet Palace,14
194,Treebo Trip Tordi Haveli,40
195,Hotel Golden Heritage,14
196,Konark Palace hotel,12
197,Hotel Dharohar Palace,12
198,OYO 452 Hotel City Inn,83
199,Raj Regency,17
200,Hotel Sukh Vilas Jaipur,17
