hotel_id,hotel_name,hotel_price
172,Hotel Ashapura Palace by Sky Stays,17
173,Hotel Atithi Bhawan by Sky Stays,14
174,Crimson Park Shripriya Hotel,36
175,The Sky Imperial  Hotel Gopal Darshan,52
176,Garden View Hotel,29
177,Hotel Hilltop Palace,
178,Shikar Oudi Jungle Villa,
179,Hotel Charan Kamal,
180,Hariyav Garh Resort,
181,Bhanwar Niwas,
182,"Tree of Life Vantara Resort, Udaipur",
183,Capital O 44207 Hotel Krishnaraj,
184,"Trident, Udaipur",
185,Dasmaya Resort,
186,Jheel Hotel and Restaurent,
187,Capital O 35703 Hotel Sarovar Grand,
188,Vatsalya Vihar,
189,Fateh Garh Resort by Fateh Collection,
190,Hotel Harsh Palace,
191,Kaya Valley Resort,
192,Nagar Haveli,
193,Arvanah Rooms,
194,Hotel Dhola Ghat Haweli,
195,Opal Club Resort - Udaipur,
196,G G Holiday Homes Innovating Hospitality,
197,Hotel Jaisingh Garh By Innovating Hospitality,
198,Hotel Bhanwar Niwas Udaipur,
199,Hotel Bhopal Palace Udaipur,
200,Spectrum Resort Spa & Convention,
201,Rajdarshan,
202,Villa Le Palms Resort & Spa,
203,Harmony Blue Udaipur,
204,Hotel The Pannadhay Palace,
205,Hotel The Sunrise,
206,Chunda Palace,
207,Hotel Elegance Villa -Udaipur,
208,Hotel Raj Palace,
209,HOTEL AMRIT MAHAL Udaipur,
210,Hotel Oasis Park,
211,FabExpress Mewar Darshan,
212,Jagmandir Island Palace,
213,Karni Fort-A Heritage Hotel Near Udaipur,
214,Hotel Paheli Palace,
215,Hotel Minerwa on Lake Pichola,
216,GenX Udai Valley Resort,
217,Hotel Darshan Palace - Udaipur,
218,The Rising,
219,Tulip Le Grand,
220,Hotel Seventh Square,
221,Aroma Home Stay,
222,Raffles Udaipur,
223,OYO 30226 Hotel Darshan Palace,
224,Zade Mount View,
225,GG Residency,
226,OYO Home 22469 Heritage City Palace View Stay Bhatiyani Chohatta,
227,Hotel Sarovar Grand,
228,Hotel Siddhartha Inn,
229,United-21 Lake City Resort,
230,OYO 37341 Heritage High,
231,Sky Blue Guest House,
232,Heritage Golden Castle,
233,Saffire Suites,
234,Jaisingh Garh Hotel and Resort,
235,OYO 22052 Hotel Kingdom Palace,
236,Down Town,
237,Hotel Divya palace & Restaurent,
238,Hotel Suraj Palace,
239,Gorakh Shyam Resort,
240,Kanhaiya Home Stay,
241,Hotel Reivera,
242,Hotel Sandal Inn,
243,SS Hotel,
244,Black Pepper Guest House,
245,OYO 18262 Hotel White Tulip,
246,Kurabar Kothi,
247,Hotel Fateh Villa,
248,Sudishti Holiday Homes and Farms,
249,Bhanwar Vilas Guest House,
250,Hotel Opera Inn,
